question_number,year,question,option1,option2,option3,option4,correct_option
1,2014,Which Question paper Type of Biology is given to you?,Type F,Type E,Type L,Type S Use the diagram below to answer and 3.,C
2,2014,The part labelled II is the,nucleus,eyespot,basal granule,contractile vacuole,D
3,2014,The part responsible for photosynthesis is labelled,III,IV,I,II,A
4,2014,The lowest level of organization in living organisms is,organ,cell,system,tissue,B
5,2014,Which of the following is the most complex according to their cellular level of organization?,Heart,Hair Use the diagram below to answer questions 6 and 7,,,B
6,2014,The organs for attachments to the lining of the host's intestine are labelled,II and III,III and IV,I and II,I and III,A
7,2014,The young proglottid is represented by,III,IV,I,II,B
8,2014,Which of the following organisms is multi-cellular?,Chlamydomonas,Spirogyra,Amoeba,Euglena,B
9,2014,"In bryophytes, sex organs are produced in the",protonema,sporophyte,gametophyte,rhizoid,C
10,2014,Seed plants are the most dominant vegetation on land because of,their motile gametes,their ability to photosynthesize,efficient seed dispersal,availability of water,C
11,2014,Which of the following is an arboreal organism?,Elephant,Fish,Antelope,Bird Use the diagram below to answer questions 12 and 13,D
12,2014,The part labelled I is the,xylem,phloem,root hairs,cortex,C
13,2014,The diagram is the transverse section of,monocotyledonous stem,dicotyledonous stem,monocotyledonous root,dicotyledonous root,D
14,2014,"I 2⁄1 , c 0⁄0, pm 3⁄2, m 3⁄3. The general formula above represents that of",amoeba lives in freshwater,diffusion is sufficient to transport,amoeba lacks blood containing,amoeba exhibits anaerobic respiration,D
16,2014,"In vascular plants, the sieve tubes and companion cells are present in the",cambium,cortex,xylem,phloem,A
17,2014,The stomata of leaves are similar in function to the,pharynx of humans,scales of fish,spiracle of insects,trachea of toads,C
18,2014,The use of moist skin for respiration in amphibians is known as,cellular respiration,cutaneous respiration,buccal respiration,pulmonary respiration,B
19,2014,Water in plants is removed as water vapour through the process of,diffusion,osmosis,evaporation,transpiration,D
20,2014,An example of an organ of perennation in plants is,rhizome,seed,petal of a flower,calyx of flower,B
21,2014,Alternation of generation is a feature shown in,mosses,fungi,grasses,conifers,A
22,2014,I. Growth is mainly apical II. Growth is specific with definite shape III. Growth is throughout life. Which of the above correctly describes the growth pattern in plants?,"I, II and III only",II and III only,I and II only,I and III only,D
23,2014,Coordination and regulation of body activities in mammals are achieved by the,nerves and muscle,nerves and hormones,nerves only,hormones only,B
24,2014,The Cerebellum of the Brain controls,reflex action,muscular activity,emotional expressions,the Endocrine system,B
25,2014,The part of the brain responsible for peristalsis is the,Olfactory Lobe,Medulla Oblongata,Hypothalamus,Thalamus,B
26,2014,Which of the following instruments is used for measuring atmospheric pressure?,Hydrometer,Hygrometer,Thermometer,Barometer,D
27,2014,The influence of soil on organisms in a habitat is referred to as,edaphic,physiographic,biotic,topographic,A
28,2014,The genetic make-up of an organism is described as,allele,chromosome,phenotype,genotype,C
29,2014,The major limiting factor of productivity in the aquatic habitat is,food,temperature,water,sunlight,A
30,2014,Which of the following group of organisms feeds directly on green plants?,Contains trees with narrow leaves,Contains large number of plant,Contains fewer number of plant,Has total annual rainfall of less than 50cm,A
32,2014,The study of how and why population size change over time is,Sahel Savanna,Mangrove Swamps,Sudan Savanna,Guinea Savanna,B
34,2014,Which of the following is a nitrogen- fixing blue-green algae of soil?,Rhizobium,Nitrosomonas,Clostridium,Anabaena,A
35,2014,The soil with highest water-retaining capacity is,Clayey Soil,Stoney soil,Sandy soil,Loamy Soil,A
36,2014,The causative agent of Poliomyelitis is,Virus,Fungus,Protozoan,Bacterium,A
37,2014,One of the ways of controlling noise pollution in urban areas is,Carbon (II) Oxide,Water Vapour,Ozone,Carbon (IV) Oxide,A
39,2014,Which of the following is true of small pox?,Nitrogen (IV) Oxide,Ozone,Fluorine,It is a water-borne infection 40.A pollutant that is mostly associated with acid rain is,C
41,2014,"When the adults have reach a certain degree of weakness, the process of binary fission is replaced by conjugation in",Paramecium,Euglena,Amoeba,Plasmodium,A
42,2014,"Whorls, arches, loops and compounds are types of variation in",Interferon,enzyme,antibiotic,disinfectant,B
45,2014,One of the advantages of outbreeding is,pests tolerance,disease resistance,fast growth,tall height,B
46,2014,An individual with blood group AB can receive blood from those in blood group(s),"A, B, AB, O","A, AB and O only",AB only,A and B only,A
47,2014,The stream-lined shape of fishes is an adaptation for,Securing mates,easy movement,obtaining food,defence and attack,B
48,2014,An example of a poikilothermic organism is a,Lizard,Cockroach,rabbit,bird,A
50,2014,Adaptive radiation is illustrated in,modified insect mouthparts,dentition in mammals,wings in birds and bats,appendages in insects ANSWER KEYS,C
