question_number,year,question,option1,option2,option3,option4,correct_option
1,2010,Which Use of English Paper Type is given to you?,Type A,Type B,Type C,Type D,A
2,2010,"According to the writer, the exciting thing about Spaceship Earth is that",has no instruction manual,it is not difficult to maintain,is peculiar to other automobiles,is relatively easy to operate,D
3,2010,The absence of instruction manual in Spaceship Earth has,made the operation of the Spaceship Earth difficult,forced man to devise other means of travelling in spacecraft,challenged man’s inquisitiveness,made man helpless,C
4,2010,"From the passage, it can be deduced that man",learns by experiment and education,learns by chance and accidentally,is incapable of solving all his problems,by his nature is in constant search of knowledge,D
5,2010,The writer’s mood in the passage is that of,non-committal,pessimism,optimism,"frustration PASSAGE II Stress is by far the most common cause of ill health in our society, and may be the underlying cause of as many as 70-80% of all visits to family doctors. It is also the problem that every doctor shares with patients. Experts note that stress is an issue everyone can relate to experimentally. In studying and better understanding about stress, we can derive personal as well as professional benefits. Stress can be overcome without undergoing  duress.  They often say anyone   who  wants  to  help someone deal with his/her stress should learn   to handle his/hers first. The manifestations of stress are legion. It  can contribute or mimic just about any symptom you can think of. However, the main symptoms are physical, mental, emotional and behavioural. The causes of stress are multiple and varied but they can be classified into external and internal. External stressors can include relatively getting  sick or dying, jobs being lost or people criticising or one becoming angry. However, most of the stress people experience is self- generated. Experts tell us that we create the majority of our upset indicating that because we cause most of our own stress, we can do something about it. This gives us a measure of choice and control that we do not always have when outside forces acts on us. This also leads to a basic premise about stress reduction. To master stress-change,  you have to figure out what you are doing that is contributing to your problem and  change  it. These changes  fall  into behaviour, thinking, lifestyle choices and / or situations you are in. By getting to the root cause of your stress, you can prevent recurrences. As a way of draining off  stress energy, nothing beats aerobic exercise. To understand why, we need to review what stress is. People often think of stress as pressure at work, a demanding boss, a sick child or rush-hour traffic. These may be triggers but stress is actually the body reaction to factors such as these. Stress is the fight-or-flight response in the body, mediated be adrenaline and other stress hormones, and comprised such physiologic changes as increased in heart rate and blood pressure, faster breathing, muscle tension, dilated pupils, dry mouth and increased blood sugar. In order word, stress is the state of increased arousal necessary for an organism to defend itself at a time of danger. Exercise is the most logical way to dissipate the excess energy. It is what our bodies are trying to do when we pace around or tap our legs and fingers. It is much better to channel it into a more complete form of exercise like a brisk walk, a run, a bike ride, or a game of squash. Just as   we are   all  capable  of mounting   up    and sustaining  a stress reaction,  we   have  also inherited  the   ability  to  put   our bodies  into  a state   of deep relaxation called the ‘relaxation response’. In this state, all the physiologic events in the stress reaction are reversed.  Pulse  slows, blood pressure falls, breathing slows and muscle relax. Adopted from VANGUARD, 19TH March, 2008",A
6,2010,"The expression, … stress is an issue everybody can relate to experimentally, means that",it is better understood when experienced,its problem can be solved by everybody,everybody avoids it,everybody encounters it.,A
7,2010,Which of the following is true according to the passage?,Stress is mostly caused by internal factors,Stress can only be avoided during relaxation,Stress is better handled by the individual,The issues of stress can be solved with no effort,B
8,2010,"According to the passage, the major step in controlling stress is",changing one’s attitude to stressors,understanding the history of disease,visiting family doctors for check-up and treatment,constant exercise to dissipate every energy,A
9,2010,The experts feel one can control one’s stress because,its causes are understandable,it is not difficult to control,external factors contribute less stress,it is individually initiated,D
10,2010,"From the passage, it can be deduced that stress is",hormonal disorder in the body system,individually induced problems,bodily reaction to internal factors,"bodily reaction to external factors PASSAGE III There are many indicators with which to assess or measure corruption. One of them is the affluent living habit of the public official compared to his / her income. Corruption occurs when a public official expects to be induced to perform an act which that public officials is ordinarily required to do by law. Corruption can slow down development. One of the most widely discussed consequences of corruption is the distortion of governmental expenditure. This often results in public money being wasted on white elephant projects, rather than people oriented services, such as health and education. As a result, more opportunities are presented for corrupt use or diversion of funds. Raising the ethical standard of governance can lead to many benefits especially for the economic, political and social development of a country. Fighting corruption and promoting governance is therefore crucial to developing an environment that facilitates the social, political and economic development of the people. However, while there  are   often general statement   made  about the effect of corruption on poverty and development. There is not an explicit recognition that corruption is more  than   just wealth misappropriation  or abuse of power. Corruption impoverishes countries and deprives their citizens of good governance. It destabilizes economic systems. When crime and other illegal activities flourish, basic public functions are eroded and the quality of life of the people is reduced. Bribery, for example, is universally  regarded as a crime, but it also reflects socio-economic problems that require broad-based preventive measures, and the involvement of the society at large. Another implication of global measures against corruption in making government work better by improving the economy. Finally, redesigning political and regulatory structures will reduce corruption and other anti -system players that encourage corrupt practice.",B
11,2010,"According to the writer, corruption is triggered off by",unnecessary affluence,selfish interest,private officials,public officers,A
12,2010,"From the passage, one of the consequences of corruption is that",large projects are executed,it is beneficial to wealth people whole stole public wealth,it impedes the progress of a nation,people get what they want with so much money to spend,C
13,2010,"Who, according to the writer should prevent corruption?",Lawyers and Police,Corrupt public officers,The government,The people,C
14,2010,Which of the following is an indication of ethical standard of governance?,Fundamental human right,Socio-economic instability,Democratic governance,Bloated expenditure,C
15,2010,"The essence of fighting corruption, according to the passage, is to",send the corrupt to yell,examined D. studied] could,scheme D. plan].,"inevitable]. Dry spells could be very severe. There are two aspects of coping with drought. One has to do with emergency measures and the other with …22… [A. routine B. organized C. urgent D. delayed] measures. An immediate consequence of any drought would be famine. In addition, where whole populations are forced to abandon their lands or pastures in search of food, there are bound to be other lasting and …23… [A. longitudinal B. objective C. simultaneous D. parallel] consequences such as distress, sales of cattle by livestock owners in order to buy food. Government should provide farmers with agricultural inputs and ensure that they have easy access to these inputs under the relief …24… [A. action B. process Emergency measures will be much more …25… [A. normal B. correct C. idealistic D. effective] if a mechanism is established to ensure adequate preparedness and defence against the occurrence of drought. Adapted from Oluikpe, B.O.A. et al (2005) Intensive English for Senior Secondary School, Onitsha: Lexis, Structure and Oral Forms In each of questions 26 to 35, select the option that best explains the information conveyed in the sentence. Each question carries 2 marks.",B
18,2010,"outcomes] for all citizens, starting from the peasant farmers to the state and federal governments which may be plunged into emergency and crises situations which, if not successfully …18… [A",managed,examined,,studied,A
19,2010,The timeliness of the onset of the rains in various regions of the country and their adequate distribution thereafter have become …19… [A,objects,subjects,issues,topics,B
20,2010,"The fact, however, is that periodic reduction in normal …20… [A",amount,supply,size,flood,B
21,2010,"Since large areas of the country are drought prone, the consequences are …21… [A",effective,disastrous,evident,inevitable,D
22,2010,One has to do with emergency measures and the other with …22… [A,routine,organized,urgent,delayed,A
23,2010,"In addition, where whole populations are forced to abandon their lands or pastures in search of food, there are bound to be other lasting and …23… [A",longitudinal,objective,simultaneous,parallel,D
24,2010,Government should provide farmers with agricultural inputs and ensure that they have easy access to these inputs under the relief …24… [A,action,process,scheme,plan,C
25,2010,Emergency measures will be much more …25… [A,normal,correct,idealistic,effective,D
26,2010,"Though Mr. Iro is a new chairman, he views other members with jaundiced eye.",He takes a rather forceful position on dealing with his members,He takes an unfavourable position concerning his members,He takes a sickly view of his members,He takes a rather hazy view of his members,B
27,2010,People are not interested in who rules.,People are not ruled by the leaders they want,People are not concerned about who rules them,The rulers are not concerned about the people,People who rule are not interested in the ruled,B
28,2010,It was good to steer a middle course in whatever one does.,It is always good to get midway in anything one does,It is always good to act with moderation,It is always good to move away from the forefront,It is always good to work very hard.,B
29,2010,The witness said he had no axe to grind with his brothers,He had no hatred for the brothers,He had no axe and therefore stole the matchet,He had no axe and therefore borrowed their matchet,He had  no vested interest in the brothers,A
30,2010,The footballers moved with their tails between their legs.,they moved happily because they won the match,they were unhappy because they had been despised by their opponents,they were ashamed because they had been defeated,they moved with their tails between their legs.,C
31,2010,The headmaster managed to talk his way out of having to give a speech,he delivered a speech despite the difficulty,he managed to give a speech out of a difficult situation,he managed to get himself out of a difficult situation,he managed to talk on his way.,C
32,2010,"As regards the matter, we have crossed the rubicon",we are completely at a loss,we are irrevocably committed,we are already qualified,we are perfectly committed,B
33,2010,Uche is full of himself,He is conceited,He is complete,He is a rich man,He is careful.,A
34,2010,"As debutants in that tournament, the Super Eagles were up against their first opponents by three goals to nill","The Super Eagles were playing in the tournament for the first time, but they won their match by three goals to nothing","Though the Super Eagles were rated as the weakest side in the tournament, they won their first match by three goals to nill","Even though the Super Eagles were playing without some of their regulars, they won their match by three goals to nill.","As the best attackers in  the match, the Super Eagles easily defeated their opponents by three goals to nothing.",A
35,2010,The woman was mournful as her husband was found dead drunk,She was sad  because of her husband was absolutely drunk,She was apprehensive that her husband would drink again as soon he recovered from the drunken stupor,She was sad because her husband was drunk and always as helpless as a dead man,"She was mourning because her husband drank and died In each of question 36 to 50, choose the option opposite in meaning to the word or phrase in italics.",C
36,2010,I am optimistic about the interview though it was a mind- bending exercise,An enervating,A debilitating,A difficult,An easy,D
37,2010,The trader was amused by the cut-throat rush for the goods,Worrisome,Strange,Lacklustre,Mad,C
38,2010,The teacher said that Ali’s essay was full of many redundant details,Unexplained,Strange,Necessary,Useful,C
39,2010,His father surmounted the myriad of obstacles on his way,Most,Few,All,Many,B
40,2010,Her ingenuous smile drew our attention,Witty,Naïve,Clever,Arrogant,D
41,2010,Ndeni gave a flawless speech at the party,A wonderful,A careless,An interesting,An imperfect,D
42,2010,"Beneath Ado’s guff exterior, he’s really very kind-hearted",Nice,Harsh,Rough,Gentle,A
43,2010,The captain says sports is being debased by commercial sponsorship,Localized,Perverted,Elevated,Overvalued,C
44,2010,Governing a country is not always as straightforward as people sometimes imagine,Complicated,Troublesome,Untoward,Irksome,A
45,2010,The crowd was very receptive to the speaker’s suggestion,Disobedient,Repellent,Alert,Hostile,D
46,2010,There was a general acquiescence on the new drug law,Resistance,Discrepancy,Compromise,Agreement,A
47,2010,Aisha seems to feel ambivalent about her future,Decisive,Anxious,Ambitious,Inconsiderate,A
48,2010,The report of the committee contained a plethora of details,Shortage,Simplicity,Multitude,Spectrum,A
49,2010,The weather was still very heavy and sultry,Wintry and shadowy,Cold and friendly,Cloudy and thundery,Hot and uncomfortable,B
50,2010,Ada gave her husband a look that made words superfluous,Redundant,Spurious,Unnecessary,"Scanty In each of questions 51 to 65, choose the option nearest in meaning to the word or phrase in italics",D
51,2010,A political Impasse does not offer the best opportunity for merrymaking,manifesto,party,gridlock,rally,C
52,2010,We were all  enthusiastic as we awaited the result of the election,bemused,agitated,elated,nervous,B
53,2010,The uniform makes the guards look absurd,dirty,smart,sensible,ridiculous,D
54,2010,The law is often tardy in reacting to changing attitude,quick,slow,exclusive,generous,B
55,2010,Isa and llu ate sumptuous meal on their brother’s wedding day,expensive,foreign,insipid,cheap,A
56,2010,Kaltume crouched over the paper on her desk,wrote on,stood on,walked over,bent over,D
57,2010,The panacea for a country’s economic mess lies in systematic planning and hardwork,cure,hope,foresight,trouble,A
58,2010,Thousands of workers have been victims of  retrenchment since the military came back to power,Unemployment,Trench mentality,Suffering,Increase in penury,A
59,2010,The principal gave his speech offhand at the sports meeting,calmly,beautifully,unconcerned,unprepared,A
60,2010,Jankoli was dressed in an old assortment of clothes,Avalanche,Homogeneity,Sameness,Melange,D
61,2010,The girl’s father was astounded to see her appear from the shrine,collected,Overwhelmed,embarrassed,Astonished,D
