question_number,year,question,option1,option2,option3,option4,correct_option
1,2011,Which Question Paper Type of Biology is given to you?,Type A,Type B,Type C,Type D,C
2,2011,The function of the red head in male Agama lizards is to,conceal and camouflage the animal from predators,scare other males from the territory,attract female lizards for mating purposes,warm predators of the distastefulness of the animal,C
3,2011,In which of the following species is the biomass of an individual the smallest?,Agama sp.,Bufo sp.,Spirogyra sp.,Tilapia sp.,D
4,2011,Seed plants are divided into,tracheophytes and ferns,angiosperms and gymnosperms,monocotyledons and dicotyledons,thallophytes and bryophytes,C
5,2011,In which of the following groups of vertebrates is parental care mostly exhibited?,Reptilia,Amphibia,Aves,Mammalia Use the Diagrams below to answer questions 6 to 8,D
6,2011,Which of the organisms represented are notable agricultural pests?,II and IV,I and IV,II and III,I and III,A
7,2011,An economic importance of the organism represented by IV is that,it transmits water borne disease to humans,it is destructive to farm crops,its faeces pollutes drinking water,it helps in the control of mosquito larvae,B
8,2011,The adult form of iii is a vector of,sleeping sickness,river blindness,cholera,elephantiasis,
9,2011,The adaptive importance of nuptial flight from termite colonies is to,disperse the reproductives in order to establish new colonies,provide abundant food for birds and other animals during the early rains,ensure cross-breeding between members of one colony and another,expel the reproductives so as to provide enough food for other members Use the diagram below to answer question 10 and 11,A
10,2011,The gas evolved in the process is,carbon (IV) oxide,nitrogen,oxygen,carbon (II) oxide,A
11,2011,The experimental set-up above is used to demonstrate the process of,diffusion,photosynthesis,fermentation,plasmolysis,C
12,2011,Which of the following can cause shrinkage of living cells?,Hypotonic solution,Isotonic solution,Deionized water,Hypertonic solution,D
13,2011,Which of the following is true of leucocytes?,they are respiratory pigments,they are most numerous and ramify all cells,they are large and nucleated,they are involved in blood clotting,B
14,2011,The conversion of a nutrient into a molecule in the body of a consumer is referred to as,digestion,assimilation,absorption,inhibition,A
15,2011,The ability of living organism to detect and respond to changes in the environment is referred to as,locomotion,irritability,growth,taxis,B
16,2011,"In mammals, the exchange of nutrients and metabolic products occurs in the",lungs,oesophagus,trachea,lymph,D
