question_number,year,question,option1,option2,option3,option4,correct_option
1,2017,The piercing and sucking mouth parts are found in,grasshoppers,mosquitoes,termites,cockroaches,B
2,2017,The hormones that regulate plant growth are,ethylene and auxins,auxin and gibberellins,cytokinin and abscisic acid,ethylene and gibberellins,B
3,2017,Which of the following pair of organisms exhibit parasitic association?,insect and plant,cattle and egret,shark and remora,tsetse-fly and cattle,D
4,2017,Which of the following group of animals can withstand the rigour of the arid land?,"locust, camel, lizard and snakes","monkeys, chameleon, earthworm and grasshopper","monkeys, grasshopper, snail and snakes","lungfish, duck, butterfly and lizards",A
5,2017,Suture joint is found in the,hip,ankle,skull,elbow,C
6,2017,The organelle responsible for osmoregulation in Paramecium is,flame cell,nephridia,contractile vacuole,Malpighian tubule,C
7,2017,Use the diagram to answer the question that follow The excretory organ of an earthworm is represented by,IV,I,III,II,C
8,2017,The platelets in mammalian blood are responsible for,transporting oxygen,initiating clotting,removing carbon (IV) oxide,destroying micro-organisms,B
9,2017,The most important factor that determines the different types of vegetation is,light,wind,temperature,rainfall,D
10,2017,"When testing for the presence of starch in a leaf, the reason for dipping the decolourised leaf in hot water is to",detect the starch,kill the leaf,soften the leaf,remove the chlorophyll,C
11,2017,The relationship between remora and shark can best be described as,parasitism,amensalism,mutualism,commensalism,D
12,2017,The major characteristic of a fresh water habitat is the possession of,high turbidity,high density,low salinity,high current,C
13,2017,The causative organism of cholera is,Clostridium sp,shigella sp,vibrio sp,salmonella typhi,C
14,2017,The process that takes place in the dark stage of photosynthesis is,oxidation of water,photolysis of water,oxidation of carbon (IV) oxide,reduction of carbon (IV) oxide,D
15,2017,Chlorofluorocarbons are air pollutants that originates from,crude oil refining,coal mining,motor vehicle exhaust,cooling system,D
16,2017,Which of the following is organ level of organisation?,Volvox sp,paramecium caudatum,hydra viridis,onion bulb,D
17,2017,The simplest form of reproduction is,conjugation,budding,spore formation,binary fission,D
18,2017,Which of the following is a characteristic of wind-pollinated flower?,flowers lack nectar,flowers are conspicuous,flowers have perianths,flowers are bisexual,A
19,2017,Use the diagram to answer the question that follow The most eminent unit in terms or water conservation is represented by,IV,I,III,II,D
20,2017,The process required for formation of gamete in sexual reproduction is,implantation,fertilisation,mitosis,meiosis,D
21,2017,In an experiment to determine the humus in a soil sample the following results were obtained Mass of dish - 20g Mass of dry soil - 7.5g Mass of dish + soil after burning = 25g The percentage of humus in the given sample is,9.1,37.5,12.5,33.3,B
22,2017,The presence of termites and earthworms in soil promote,porosity and fertility,porosity and aeration,aeration and fertility,acidity and aeration,C
23,2017,"In a 15m2 habitat, the total number of Tridax counted using a 1.6m2 quadrant thrown randomly 50 times was 400. What is the Tridax",12,16,8,5,D
24,2017,Which of the following is a sex-link character?,Dwarfism,Albinism,Tongue rolling,Colour blindness,B
25,2017,The outer-most tissue of the herbaceous roots is the,cuticle,pericycle,epidermis,endodermis,A
26,2017,The respective tissues that transport water and manufactured food in plants are,xylem and phloem,phloem and tracheid,phloem and xylem,xylem and tracheid,D
27,2017,An adaptive feature of plants in the savanna is,obtain food,predators,secure mates,escape detection,D
29,2017,Which of the following is the most advance plant?,merchantia,Dryopteris,Chlamydomonas,Spirogyra,D
30,2017,The soil type with the least ability to retain nutrients is,"short, slender and ridged","short, strong and conical","long, slender and slightly curved","long, wide and slightly curved Use the diagram to answer the question that follow",D
32,2017,The part labelled III acts as,water outlet,food strainer,exchange surface,blood transporter,C
33,2017,The effect of overcrowding is,immigration,reduced competition,emigration,reduced mortality,C
34,2017,The vertebrae that allows the skull to nod and rotate are,axis and cervical,atlas and thoracis,axis and atlas,atlas and cervical,C
35,2017,The component of the cell that determines paternity resides in the,centrosome,ribosome,nucleus,mitochondria,C
37,2017,Use the diagram to answer the question that follow The part labelled II is the,arch,filament,slit,raker,D
38,2017,The insect-trapping by the leaves of Venus flytrap is an example of a,adaptive coloration,structural adaptation,environmental adaptation,behaviour adaptation,B
39,2017,Morphological variation in humans include,"height, skin, colour and tongue rolling","weight, finger prints and body shape","height, weight and blood group","skin colour, blood and height",B
40,2017,Which of the following is correct about blood transfusion?,Group AB can only receive from groups A and B and not from group O,Group O can receive from groups A and B and from AB,Group B can only donate to blood group B and not to AB and O,"Group O can donate to groups A, B and AB but cannot receive ANSWERS",D
