question_number,year,question,option1,option2,option3,option4,correct_option
1,2013,Which Question Paper Type of Biology is given to you?,Type D,Type I,Type B,Type U,C
2,2013,The process in which complex substances are broken down into simpler ones is referred to as,anabolism,catabolism,metabolism,tropism,B
3,2013,The organ which is sensitive to light in Euglena is the,gullet,flagellum,chloroplast,eyespot,D
4,2013,The organelles present in cells that are actively respiring and photosynthesizing are,lysosomes and ribosomes,Golgi apparatus and endoplasmic reticulum,nucleus and centrioles,mitochondria and chloroplast,D
5,2013,Taenia solium can be found in,cow,goat,dog,pig,D
6,2013,The structure labelled II is the,mud,humus,clay,sand,C
8,2013,Which of the following describes a characteristic of arthropods?,The organism finds it easy to grow freely,the organism has a pair of jointed appendages,the body is not divided into a number of segments seg,the body is covered by chitin,D
9,2013,Which of the following distinguishes a butterfly from a moth?,the wings of butterfly rest horizontally but those of moth rest vertically,Both are active during the day,they have similar antennae,the abdomen of moth is fatter than that of butterfly,A
10,2013,Which of the following types of feathers is used for flight in birds?,Quill,Filo plume,Covert,Down,A
11,2013,The plants that grow in deserts or very dry areas are referred to as,mesophytes,hydrophytes,epiphytes,xerophytes,D
12,2013,Which of the following is the simplest living organism?,Paramecium,Virus,Amoeba,Chlamydomonas,C
13,2013,Proboscis is a structure that is mostly found in,insects,tapeworms,amphibians,molluscs,A
14,2013,The structural adaptation of desert plants for water conservation is,broad leaves with numerous stomata,spongy mesophyll,spiny leaves,prominent stomata in leaves,C
15,2013,The long and sharp clawed feet of birds is an adaptation for,crushing seeds,scooping mud,tearing flesh,grasping prey,D
16,2013,"During the manufacture of food by plants, which of the following organism use energy from the sun?",anabaena,sulphur bacteria,Nitrosomonas sp.,Nitrobacter sp.,A
17,2013,Movement of minerals and chemical compounds with a plant occurs during,osmosis,translocation,transpiration,diffusion,B
18,2013,The enzyme that is present in the saliva is,rennin,lipase,pepsin,ptyalin,D
19,2013,Plants that have special devices for trapping and digesting insects are,carnivorous,symbiotic,parasitic,saprophytic,A
20,2013,The process of transforming the chemical energy of cellular fuels into the high energy bonds of ATP in plants is,autotropism,photosynthesis,photolysis,respiration,D
21,2013,Fungi are referred to as hetotrophs because they,are filamentous,lack chlorophyll,have mycelium,lack roots,B
22,2013,An example of a parasitic protozoan is,Paramecium,Plasmodium,Euglena,Chlamydomonas,B
23,2013,Which blood cell are involved in the immune response of vertebrates?,Phagoecytes,lymphocytes,erythrocytes,monocytes,A
24,2013,The blood circulatory system of vertebrates consists of,cambium,xylem,cortex,phloem,A
26,2013,Which of the following helps in the clotting of blood?,Red blood cells,White blood cells,Plasma,Platelets,D
27,2013,Which of the following forms about 55% of the volume of the blood in man?,leucocytes,platelets,plasma,erythrocytes,C
28,2013,The part of the mammalian skin involved in excretion is the,sweat glands,Malpighian layer,sebaceous gland,horny layer,A
29,2013,Which of the following is a waste product of an insect?,Alkaloids,Uric acid,Sweat,Mucilage,B
30,2013,The main structure in vertebrates that supports and protects the body is the,skeleton,ligament,muscle,joint,A
31,2013,The chitin in the exoskeleton of many arthropods is strengthened by,lids,proteins,calcium compounds,organic salt,C
32,2013,The transfer of pollen grains from the anther to a sigma is,propagation,placentation,pollination,fertilization,C
33,2013,The male reproductive organ of a flower is the,carpel,stamen,petal,sepal,B
34,2013,The gland that is found just below the hypothalamus is the,parathyroid,adrenal,pituitary,thyroid,C
35,2013,The most important plant hormone is,cytokinin,abscisic acid,auxin,gibberellin,C
36,2013,The sensory cell that responds to dim light is referred to as the,cone,lens,rod,iris,C
37,2013,The absence of anti-diuretic hormone in humans results in,decreasing dehydration,drastic dehydration,eliminating dehydration,increasing dehydration,A
38,2013,Oestrogen is a hormone that is synthesized in the,ovaries,testes,anterior pituitary,adrenal cortex,A
39,2013,The eye defect cause by the development of cloudy areas in the lenses is,presbyopia,glaucoma,cataract,astigmatism,C
40,2013,A pollutant that is biodegradable is,sleeping sickness,river blindness,yellow fever,malaria,D
42,2013,The solid part of the ecosystem is referred to as the,atmosphere,hydrosphere,biosphere,lithosphere,D
43,2013,Which of the following is caused by Treponema palladium?,Gonorrhoea,Leprosy,Tuberculosis,Syphilis,D
44,2013,To which blood group do universal recipients belong?,B,A,O,AB,D
45,2013,The clumping together of red blood cells is,agglutination,fusion,transfusion,compatibility,A
46,2013,Physiological adaptation to very dry conditions in animals demonstrates,rejuvenation,xeromorphism,hibernation,aestivation,C
47,2013,One of adaptation of Cactus opuntia to conserve water is the reduction of,internodes,stem to leaves,leaves to spine,flower size,C
48,2013,Which of the following structure is adapted for feeding in a bird of prey?,Hooked break and sharp claws,Smooth beak and strong claws,Big beaks and strong feet,Pointed beak and strong claws,A
49,2013,The special pigment for colour change in chameleon is,melanin,carotenoid,chromatin,chromatophore,A
50,2013,The behavioural adaptation in social insects could best be described as,symbiosis,saprophytism,parasitism,commensalisms,A
