question_number,year,question,option1,option2,option3,option4,correct_option
1,2018,A group of closely related organisms capable of interbreeding to produce fertile offspring are known as members of a,kingdom,class,family,species,D
2,2018,"A beaker of pond water containing few specimens of Euglena was placed in a dark room for two weeks. At the end of this period, the specimens of Euglena were still alive because they were",able to carry out holozoic nutrition,able to carry out photosynthesis using carbon dioxide in the pond water,better adapted to life in darkness than to life in light,not overcrowded,A
3,2018,The cytoplasm of the cell is considered a very important component because it,regulates the amount of energy in the cell,suspends all cell organelles,is the outermost part of the cell,is solely responsible for cell division Use the diagram below to answer question 4 to 6,B
4,2018,"After an hour, the level of water in the thistle funnel will",rise,fall,remain the same,double,A
5,2018,The experiment is used to demonstrate the process of,transportation,water culture,diffusion,Osmosis,D
6,2018,"In a plant cells, the role of the membrane is played by the",nucleolus,cell wall,cytoplasm,mitochondrion,B
7,2018,Red blood cells were found to have burst open after being placed in distil for an hour. This phenomenon is known as,plasmolysis,diffusion,haemolysis,wilting,C
8,2018,The curvature movement of plants in response to the stimulus of water is called,hydrotropism,geotropism,Phototropism,thigmotropism,A
9,2018,The overall reaction in glycolysis can be summarised as,"C  6111205 --K31-1403 + 4H + ATP B. C6H1206 ----- 2;11403+ 4H + 2ATP C. C61-1,206---.> 2;1-1403 + 4H + ADP D. C6F11206 2C31-1403+ 4h + 2ADP",,,,B
10,2018,The longest bone in the body is the,humerous,femur,scapula,tibia,B
11,2018,Which of the following structures is not a skeletal material?,Chitin,Cartilage,Bone,Muscle,D
12,2018,The reason why the flow of blood through the capillaries is very slow is,because the walls of capillaries are very thin,to avoid high — blood pressure,to ensure that the individual does not get dizzy,to allow adequate time for exchange of materials,D
13,2018,Which of the following groups of organisms has kidney as their excretory organ?,"Fishes, amphibians, birds, man","Fishes, amphibians, annelids, insects","Fishes, reptiles, birds, tapeworms","Fishes protozoans, amphibians, man",A
14,2018,Which of the following features is not a characteristic of arteries? Arteries,possess values at internals throughout their length.,have thick muscular and elastic walls,carry blood away from the heart,transport oxygenated blood with the exception of the pulmonary artery. The graph below shows the results of a laboratory investigation which measured the body temperatures of a lizard and a bird under changing artificial conditions. Use to answer questions 15 and 16.,A
15,2018,Which of the statements below is valid?,The bird's blood was always warmer than that of the lizard.,The body temperature of the bird varied less than that of the lizard during changes in environmental temperature.,The body temperature of the bird remained constant despite changes in environmental temperature.,The body temperature of the lizard was always close to that of the environmental temperature.,C
16,2018,What physiological term can be used to describe the regulation of the body temperature of the lizard?,Homeostasis,Homeothermy,Poikilothermy,Osmoregulation,C
17,2018,The reason why hospitals use saline solutions as drip instead of water is,because salt is a preservative,to prevent contamination of the body,to maintain the composition of body fluids,to increase the number of blood cells,A
18,2018,The part of the ear which contains nerve cells sensitive to sound vibrations is the,cochlea,ampulla,tympanum,malleus,A
19,2018,Spectacles with convex lenses correct long-sightedness by,radicle and plumule,the developed ovule,the embryo and endosperm,developed ovary,A
21,2018,Which of the following processes removes carbon from the atmosphere?,Putrefaction,Photosynthesis,volcanic eruption,Burning fuels,B
22,2018,Which of the following cycles involves the process of precipitation and transpiration?,Water cycles,Carbon cycle,Nitrogen cycle,oxygen cycle,A
23,2018,What is the critical limiting factor for plants below the photic zone in an aquatic ecosystem?,Availability of nutrients,Availability of water,intensity of light,Carbon dioxide concentration,C
24,2018,"Which of the following instruments is used to estimate the number o, plants in a habitat?",Pooter,Pitfall trap,Quadrat,Sweep net,C
25,2018,Which of the following statements is true about sandy soil? It,has limited air space,is light and easy to dig,drains slowly,is heavy and poorly aerated,B
26,2018,Which of the following organisms is a primary consumer?,Dog,Sheep,Grass,Fungus Study the diagram of a food chain shown below and use it to answer question 27 and 28. P→Q→R→S→T,B
27,2018,The organism designated P in the food chain above is normally sustained by energy from,sunlight,carbohydrates,green plants,mineral salts,A
28,2018,Which of the following statements best describes the organism designated R? It,feeds on S.,is a primary consumer.,is a producer as well as a consumer,is a secondary consumer,D
29,2018,Which of the following diseases is not hereditary?,Albinism,Scabies,Haemophilia,Colour blindness,B
30,2018,The immediate product of meiosis in flowering plants is the,sporophyte,gametophyte,zygote,pollen grains,D
31,2018,DNA in eukaryotic cells is contained in the,0%,25%,50%,75%,B
33,2018,Cytokinesis of mitosis is a process that ensures that,each daughter cell gets the necessary organelle,there is distribution of a complete set of genes into each daughter cell.,daughter cells inherit new genetic combinations.,worn out organelles are excluded from daughter cells,B
34,2018,An animal which is active during the day is known as a,nocturnal animal,diurnal animal,terrestrial animal,homoatomic animal,A
35,2018,Evidence of evolution include the following except,fossil records,comparative anatomy,mutation of genes,geographical distribution of organisms Use the diagram below to answer question 36 and 37.,D
36,2018,The diagram shows that the organisms are,hermaphrodite,viviparous,oviparous,ovoviparous,A
37,2018,The breeding posture illustrated in the diagram is known as,mating,amplexus,courtship display,reproductive swimming,B
38,2018,An accurate identification of a rapist can be carried out by it conducting a,schistosomiasis,onchocerciasis,poliomyelitis,salmonellosis,A
40,2018,The flippers of a whale and the fins of a fish are examples of,divergent evolution,coevolution,continuous variation,convergent evolution,A
