question_number,year,question,option1,option2,option3,option4,correct_option
1,2012,Which Question Paper Type of Biology as indicated above is given to you?,Type Green,Type Purple,Type Red,Type Yellow Use the diagram below to answer question 2 and 3,C
2,2012,The organelle responsible for heredity is labelled,l,ll,lll,I,B
3,2012,The part labelled IV is the,mitochondrion,cell wall,endoplasmic reticulum,nucleus,C
4,2012,Which of the following is most advanced in the evolutionary trend of animals?,Liver fluke,Earthworm,Snail,Cockroach,D
5,2012,Which of the following is the lowest category of classification?,Class,Species,Family,,B
6,2012,Plants that show secondary growth are usually found among the,thallophytes,pteridophytes,monocotyledons,dicotyledons,B
7,2012,The fungi are distinct group of eukaryotes mainly because they have,spores,no chlorophyll,many fruiting bodies,sexual and sexual reproduction,B
8,2012,An arthropod that is destructive at early stage of its life cycle is,butterfly,mosquito,bee,millipede,A
9,2012,An animal body that can be cut along its axis in any plane to give two identical parts is said to be,radially symmetrical,bilaterally symmetrical,asymmetrical,symmetrical,A
10,2012,Which of the following possesses mammary gland?,Dogfish,whale,shark,catfish,B
11,2012,The feature that links birds to reptiles in evolution is the possession of,feathers,break,skeleton,scales,D
12,2012,Countershading is an adaptive feature that enables animals to,fight enemies,remain undetected,warn enemies,attract mates,B
13,2012,Which of the following plant structures lacks a waterproof cuticle?,leaf,stem,root,shoot,C
14,2012,"In the mammalian male reproductive system, the part that serves as a passage for both urine and semen is the",urethra,ureter,bladder,seminal vesicle,A
15,2012,In plants which of the following is required in minute quantities for growth?,Copper,Potassium,Phosphorus,Sodium,A
16,2012,Which of the following organisms is both parasitic and autotrophic?,neutralise the effect of bile,coagulate milk protein and emulsify,stop the action of ptyalin,break up food into smaller particles,A
18,2012,Which of the following is a polysaccharide?,Glucose,Sucrose,Maltose,Cellulose Use the diagram below to answer this question 19 and 20.,D
19,2012,Arrows represent directional movement materials. Transportation in the xylem is represented by,I,II,III,IV,D
20,2012,The arrow labelled ll represents the,release of oxygen,intake of carbon (IV) oxide,movement of photosynthates,movement of nutrients,A
21,2012,"In the kidney of mammals, the site of ultrafiltration is the",uriniferous tubule,Bowman's capsule,loop of Henle,renal tubule,B
22,2012,Which of the following is involved in secondary thickening in plants?,Collenchyma and xylem cells,Vascular cambium,Vascular cambium and cork cambium,Cork cambium and sclerenchyma,C
23,2012,An example of a fruit that develops from a single carpel is,okro,tomato,bean,orange,C
24,2012,The developing embryo is usually contained in the part labelled,IV,III,II,I,C
25,2012,The function of the part labelled lll is to,produce egg cells,protect sperms during fertilization,secrete hormones during coitus,protect the developing embryo,A
26,2012,Plant growth can be artificially stimulated by the addition of,gibberellin,kinin,abscisic acid,ethylene,A
27,2012,The autonomic nervous system consists of neurons that control the,voluntary muscles,heart beat,tongue,hands,B
28,2012,Plants of temperate origin can be grown in tropical areas in the vegetation zones of the,rain forest,Guinea savanna,Sudan savanna,montane forest,B
29,2012,The water cycle is maintained mainly by,evaporation of water in the environment,evaporation and condensation of water in the environment,condensation of water in the environment,transpiration and respiration in plants,B
30,2012,Organisms living in an estuarine habitat are adapted to,withstand wide fluctuations in temperature,survive only in water with low salinity,withstand wide fluctuations in salinity,feed only on phytoplankton and dead organic matter,C
31,2012,"The presence of stilt roots, pneumatophores, sunken stomata and salt glands are adaptive features of plants found in the",tropical rainforest,mangrove swamps,grassland,montane forest,B
32,2012,Which of the following animals can exist solely on the water they get from food and metabolic reactions?,forest arboreal dweller,Desert dwellers,forest-ground dweller,rainforest dwellers,B
33,2012,The most likely first colonizers of a bare rock are,mosses,ferns,lichen,fungi,D
34,2012,The carrying capacity of a habitat is reached when the population growth begins to,increase slowly,increase exponentially,slow down,remain steady,C
35,2012,The abiotic factors that control human population include,disease and famine,space and rainfall,flooding and earthquake,temperature and disease,C
36,2012,An indigenous method of renewing and maintaining soil fertility is by,clearing farms by burning,planting one crop type,adding inorganic fertilizers yearly,crop rotation and shifting cultivation,D
37,2012,The diseases caused by water-borne pathogens include,gonorrhoea and poliomyelitis,typhoid and syphilis,tuberculosis and cholera,typhoid and cholera Use the diagram below to answer question 38 and 39.,D
38,2012,The graph illustrates,the highest frequency for height of 2 metres,a discontinuously varying character,a continuously varying character,total yield in a cassava farm,B
39,2012,The largest number of cassava plants has an approximate height of,1.4m,1.6m,1.8m,2.0m,B
40,2012,Which of the following is true in blood transfusion?,non-heritable,sex-linked,a recessive trait,a dominant trait,A
42,2012,When a colour-blind man marries a carrier woman. What is the probability of their offspring being colour blind?,25%,50%,75%,100%,B
43,2012,The correct base pairing for DNA is,adenine → thymine and guanine → cytosine,adenine → guanine and thymine → cytosine,adenine → cytosine and guanine → thymine,adenine → adenine and cytosine → cytosine Use the diagram above to answer this question 44 and 45,A
44,2012,The type of interaction shown is referred to as,interspecific competition,intraspecific competition,mutualism,cooperation,A
45,2012,Which of the following statement is true of the interaction?,P aurelia is better adapted for obtaining food than P caudatum,P caudatum is better adapted for obtaining food than P. aurelia,both organisms cannot coexist,both organisms cannot reproduce,C
46,2012,The short thick break in birds is an adaptation for,crushing seeds,sucking nectar,tearing flash,straining mud,A
47,2012,The basking of Agama lizards in the sun is to,change the colour of their body,raise their body temperature to become active,fight to defend their territories,attract the female for courtship,D
48,2012,The significance of a very large number of termites involved in nuptial swarming is to,provide birds with plenty of food,ensure their perpetuation despite predatory pressure,search for a favourable place to breed,ensure that every individual gets a mate,B
49,2012,The use and disuse of body parts and the inheritance of acquired traits were used to explain,Darwin's theory,Lamarek's theory,genetic drift,gene flow,B
50,2012,"From his study of Galapagos finches, Darwin derived his theory of evolution from",comparative anatomy,comparative physiology,fossil remains,comparative embryology ANSWER KEYS,B
