question_number,year,question,option1,option2,option3,option4,correct_option
1,2015,Which of the following has the most primitive respiratory system?,insect,fish,snail,mouse,A
2,2015,One adaptation shown by hydrophytes in fresh water habitats is the,waxy cuticle on shoot surface,poor development of roots and xylem tissues,well-developed roots and supporting system,leaves reduced to spines,B
3,2015,Which of the following use diffusion as the principal method of gaseous exchange?,grasshopper,rat spines,lizard,earthworm,D
4,2015,The theory which supports the view that the large muscles developed by an athlete will be passed on to the offspring was proposed by,Mendel,Darwin,Lamark,Pasteur,C
5,2015,The chromosomes of members of the kingdom Monera are within the,nucleoplasm,nucleus,nucleolus,cytoplasm,D
6,2015,The mangrove swamp in Nigeria is restricted to the,Sahel savanna,Guinea savanna,Tropical rainforest,Sudan savanna,C
7,2015,The pancrease secretes enzymes for the digestion of,"fats, proteins and carbohydrates","fats, vitamins and cellulose","fats, carbohydrates and vitamins","proteins, cellulose and minerals",A
8,2015,The causative agent of bird flu is a,protozoan,virus,bacterium,fungus,B
9,2015,A water medium is necessary for fertilization in,conifers,angiosperms,ferns,fungi,C
10,2015,An example of a sex-linked trait is the,colour of the skin in humans,ability to roll the tongue,possession of facial hair in adult humans,ability to grow. long hair in females,C
11,2015,In which of the following Nigerian states can montane vegetation be found?,Bauchi,Plateau,Taraba,Enugu,B
12,2015,Which of the following is true of cloning?,it is welcomed as an ethically and normally sound science,it involves the asexual multiplication of the tissues of the original organism,the clone is similar to but not exactly like the original organism,only one cell of the original organism is needed to imitate the process,D
13,2015,The process of shedding the exoskeleton of an arthropod is known as,ecdysis,in star formation,metamorphosis,osmosis,A
14,2015,Which of the following is a major cause of constipation in humans?,lack of roughage,vitamin B,vitamin E,lack of salts,A
15,2015,"In mammals, the organ directly on top of the kidney is the",adrenal gland,prostate gland,pancrease,thyroid gland,A
16,2015,An accurate identification of a rapist can be carried out by conducting a,RNA analysis,blood group test,behavioural traits test,DNA analysis,D
17,2015,An example of a fish that aestivates is,croaker,lung fish,shark,cat fish,B
18,2015,The opening and closing of the stoma are regulated by,respiration,osmosis,diffusion,transpiration,C
19,2015,"Which of the following is common to the mosquito, housefly and blackfly?",they are parasites of man,their immature stages are aquatic,they undergo complete metamorphosis,their adults have two pairs of wings,C
20,2015,The organs that will be most useful to giant African rats in finding their way in underground habitats are the,nostrils,eyes,vibrissae,tails,C
21,2015,"A crucible of 5gm weighed 10gm after filling with fresh soil. It is then heated in an oven at 1000C for 1 hour. After cooling in a desiccator, the weight was 8gm. The percentage of water in the soil is",0.8,0.2,0.4,0.6,C
22,2015,The waste product of plants used in the conversion of hide to leather is,alkaloid,resin,tannin,gun,C
23,2015,The correct sequence of the movement of urea during formation is,glomerulus - Bowman's capsule - convoluted tubule - Henle's loop - collecting tubule,convoluted tubule - glomerulus - Henle's loop - Bowman's capsule - collecting tubule,glomerulus - Bowman's capsule- convoluted tubule - Henle's loop collecting tubule,convoluted tubule - Bowman's capsule - Henle's loop -glomerulus - collecting tubule,A
24,2015,"In lizards, the lowing of the gular fold is used to",defend their territory,attract mates,frighten enemies,catch insects,C
25,2015,The photosynthetic pigments include,chloroplast and cytochromes,melanin and haemoglobin,chlorophyll and carotenoids,carotenoids and haemoglobin,C
26,2015,The highest level of ecological organization is the,ecosystem,niche,biosphere,population,A
27,2015,A biotic factor which affects the distribution and abundance of organism in a terrestrial habitat is,pH,competition,temperature,light,C
28,2015,The eye defect that rises because the cornea is not curved smoothly is,astigmatism,short-sightedness,long-sightedness,presbyopia,A
29,2015,Which of the following is an example of parasitism?,a squirrel living in an abandoned nest of a bird,mistletoe growing on an orange tree,fungi growing on a dead tree branch,cattle egrets taking tasks from the body of cattle,B
30,2015,The increasing order of the particle size in the following soil types is,cattle sand – clay-gravel,clay - silt sand – gravel,silt - clay - sand - gravel,clay - sand - silt – gravel,B
31,2015,Which of following factors can bring about competition population?,phosphorus,calcium,sulphur,iron Use the diagram below to answer question 33 and 34.,B
33,2015,The cell organelle solely responsible for respiration is the,nucleus,nucleolus,endoplasmic reticulum,mitochondrion,D
34,2015,The organelle responsible for heredity is,IV,I,II,III Use the diagram below to answer questions 35 and 36.,D
