question_number,year,question,option1,option2,option3,option4,correct_option
15,2010,"The phrase a complete and wholehearted devotion, as used in the passage, means (a) acting without doubt (b) learning with tension (c) learning without pains (d) teaching with ease PASSAGE IV The passage below has gaps numbered 16 to 25. Immediately following each gap, four  options are provided. Choose the most appropriate options for each gap. Each question carries 3 marks The medical definition of miscarriage is the spontaneous loss of a pregnancy before twenty-four weeks. Miscarriage is very common, occurring in ten to twenty per cent, of conformed pregnancies. Most of these feature …16… [A. In the penultimate B. In the first C. around D. For] twelve week of pregnancy. The most common …17… [A. type",,"starts C. reduces D. appears] with age because  the quality of eggs deteriorates. If a woman drinks too much alcohol or smokes heavily, the risk of miscarriage is higher. It is also increased with …25… [A. complicated B. advance C. multiple D. confirmed] pregnancies such as twins. Adapted from Saturday Punch, 13 October, 2007 LEXIS, STRUCTURE AND ORAL FORMS In each of question 26 to 35, select the option that best explains the information conveyed in the sentence. Each question carries 2 marks",,,A
16,2010,Most of these feature …16… [A,In the penultimate,In the first,around,For,B
17,2010,The most common …17… [A,type,,Period,Symptom,D
18,2010,"You may see blood clots, brown discharge or other tissues that are not …18… [A",clearly,naturally,directly,Medically,A
19,2010,"You may find that the usual symptoms of pregnancy, such as breast tenderness, feeling sick and having to pass urine more …19… [A",painfully,frequently,gradually,,B
20,2010,"Sometimes there are no signs or symptoms of miscarriage and pregnancy symptoms continue, and the miscarriage is only …20… [A",prevented,managed,discovered,Stopped,C
21,2010,About half of all early miscarriages happen because of a problem in the way the genetic material from the egg and sperm have combined during …21… [A,pregnancy,incubation,mating,Fertilization,D
22,2010,It can be difficult to find out why this has …22… [A,occurred,enlarged,continued,emerged,A
23,2010,"Imbalances in pregnancy hormones, problems in the immune …23… [A",syndrome,process,response,system,D
24,2010,The risk of miscarriage …24… [A,increases,starts,reduces,appears,A
25,2010,It is also increased with …25… [A,complicated,advance,multiple,confirmed,C
70,2010,"His many years of success in legal practice, [A. indeed B. but",,,in spite of it all D. however] didn’t come without challenges.,,A
72,2010,"[A. First and formost B. First and formust C. First and farmost D. First and foremost], a good leader must have two characteristics.",,,earthen discarded black D. black earthen discarded] pot.,,D
74,2010,She was [A. at B. on C. by,,,,with] the verge of tears,A
83,2010,"For more productivity, the company is focusing attention on",,cook,fool,tool,B
85,2010,"I wanted to know his political beliefs, so I asked him what [A. this was B. these are C. this is",,,,"these were]. In each of question 86 to 88, choose the option that has the same vowel sound as the one represented by the letter(s) underlined.",D
86,2010,book,cool,pig,made,came,B
88,2010,patch,starch,fare,mad,"brave In each of question 89 to 91, choose the option that has the same consonant sound as the one represented by the letter(s) underlined.",C
