question_number,year,question,option1,option2,option3,option4,correct_option
1,2013,Which question Paper Type of Uses of English is given to you?,Type D,Type I,Type B,Type U,C
2,2013,Which of the following is true according to the passage?,"Anyone, with almost no training, can run pots on a wheel.",Pots can be made quickly and correctly.,A pot thrown on a wheel is less likely to break.,The potter does not have to work hard if he uses the wheel.,B
3,2013,"From the passage, how does a potter make several pots of almost identical size?",By having the knowledge of different pots.,By weighing the lumps of clay.,By having the right tools,By knowing what to do from experience.,B
4,2013,"The phrase trims off any waste clay, as used in the passage, means to---",cut away unnecessary parts,force the clay to the centre,divide the clay into two,wash away different colours.,A
5,2013,"The word congenial, as used in the passage, means---",congested,precise,similar,"nice PASSAGE II Music plays a vital role in human society. Good music provides entertainment and emotional release, and it accompanies activities ranging from dances to religious ceremonies. Music is heard everywhere; in auditoriums, homes, elevators, schools, sports arenas and on the streets. Recorded performance is a sensational innovation elevation of the twentieth century. Thanks to modern technology like compact disc (CD) digital video disc (DVD) and the MP 3 player, music can now be heard in diverse places. Such places include living rooms and cars, jogging paths can also function as new kinds of concert halls where we can hear what we want as often as we want. Live performances  provide     a special  excitement.  In  a  live performance   artistes     put themselves on the line. To avoid embarrassment, the artiste must train before hand and ensure that technical  difficulties are avoided and that the listeners are actively involved. What is performed, how it sounds  to the excitement  of such a moment and feelings are exchanged  between  stage and hall. Our response to a musical performance or an artiste is subjective and rooted in deep feelings. Even professional critics can differ strongly in their evaluations of a performance. There is no one ''Truth'' about what we hear and feel. Does the performed project a concept, an overall idea, or an emotion? Do some sections of a piece, but not others, communicate something to you? Can you figure  out why? It is up to us as listeners to evaluate performances of music so that we can fully enjoy it. People listen to music in many different ways. For instance, music can be a barely perceived background as in a film or a totally absorbing experience as in a concert. Adapted from Roger, K. (1990) An Appreciation Music: Fourth Brief Edition, McGrow-Hill Higher Education.",D
6,2013,Which of the following is true according to the passage?,Music can enhance evaluation performance,All listeners are music makers,All artistes are objective in their feelings.,Music influences feelings at different levels,A
7,2013,"The expression…..stage and hall, as used in the passage, means the",artiste and his music,artiste and the audience,producer and the director,director and the audience,B
8,2013,"From the passage, it can  be deduced that music Is –",appreciated as the environment dictates .,better appreciated in a crowd,better appreciated when we are happy,better appreciated by professional critics,A
9,2013,"According to the writer, live performances provide a special excitement because they are",stage-managed,interactive,error-free and original,educative,B
10,2013,"According to the passage, music plays a vital role in human society because—",music provides enjoyment and relief,pressure volume C. pressure,space D. height around the,"everybody can listen to music through the CD, MP3 and DVD. PASSAGE III Whatever may be its wider imputations, the explosion of hydrogen bomb is, for the meteorologist, simply another atmospheric disturbance. It should therefore be classified with certain rare natural…..11…… (A. programmes B. occurrences C. resources D. laws), such as volcanic…12….[A. insurrection B. exhaustion C. eruption D. expulsion]. But there are certain features of a man-made disturbance that requires special examination. As with all events on this…13… [A. scanner B. skate C. snow D. scale), it is impossible to describe what happens in details. However we can be reasonably sure of the main effects, and the most impressive of these arises from…14….. (A. pressure waves air D. pressure gauge ). The immediate result of the…15… (A. reduction B. commotion C. detonation D. distortion) is that the air surrounding the bomb is raised very rapidly to an enormously high…16… (A. way B. temperature C. class D. profile]. The hot gases expand violently as great…17…(A. firearms B. fireballs compressing the air around them into what is called…18…[A. shock jocks B. shock therapy C. shock waves D. shock troops), or blast wave that is responsible for much of terrible destructive power of - the weapon. Another kind of wave arises because of the weight of the air. The force of the explosion lifts the…19… (A. form B. atmosphere bomb. The gravity waves can also resemble ordinary…..20….. (A. stream B. lake C. ocean D. river) waves. Waves of this type are normally felt by human beings and they have their effect on the weather. Questions 21 to 30 are based on Chukwuemeka Ike’s The Potter’s Wheel.",A
13,2010,As with all events on this…13… [A,way,temperature,class,profile,D
21,2013,"In their preparation for the masquerade, David and others agreed to  exercise extra caution in their dealings with Samuel because he would.",force them to dance with the masquerade.,try his tricks on them to know their secrets,prepare well ahead of them,put them to shame.,B
22,2013,In the novel; Nwomiko was famous for her,lack of fighting spirit,spiritual powers,political struggles,lack of spiritual values,B
23,2013,"With remarkable agility, he mounted The  Fallen Goliath and went on to stuff his mouth with earth. Who was the Fallen Goliath in the excerpt above?",Cromwell,David,Polycarp,Samuel,D
24,2013,"If you have not beheld your chi in his stark nakedness, be prepared to do so as soon as you set foot in that man’s house. From the excerpt above, whose house was being referred to?",Mazi Nwokike,Teacher Zaccheus,Mazi Okeke,Mazl Laze,B
25,2013,"In the novel,  the people of Umuchukwu likened samuel to",a swimmer,an ancestral spirit,a chief priest,a fisherman,B
26,2013,Obu dashed out of the school building because,he was given a prize by the headmaster,his teacher wanted to ‘flog him,he came top of Standard I,his teacher sent him on an errand.,B
27,2013,"In the novel, Bright lived with Teacher because",his father had gone on a long journey,he was Teacher’s nephew,his father was indebted to Teacher,he wanted to become a teacher.,A
28,2013,"According to the novel, Obu was good at",Jokes,proverbs,cricket,games,C
29,2013,Uke was conscripted into the military because,he wanted to travel to Burma,he was a social nuisance,he loved the British soldiers,his grandfather was a military man.,B
30,2013,"In the novel, the ‘pad’ was a symbol of",love,success,unity,failure Questions 31 to 35 are based on Jerry Agada’s The Successors.,A
31,2013,It can  be inferred from the novel that Mr Eze was Terkura Atsen’s,business partner,uncle,role model,boss.,C
32,2013,"From the novel, David thought Ifenne should be involved in politics because he wanted him to ………",make a ‘name’ for posterity,rig the election for someone,take part in the election process,extort money from the people.,A
33,2013,The civil war created business opportunities for people like Owiocho because,he became the supplier of all essential commodities,the Ibos were conscripted into the army,the exit of the Ibos created a vacuum,the Ibos had ventured into other businesses.,C
34,2013,"My boy, your future is bright, you can be anything you want to be …. The statement above was made because Ifenne had",purchased his first bus,been working for others to make profit,been planning to excel,proven himself faithful and committed.,D
35,2013,The departure of Ibo competitors to the East had favoured,Okoh’s marriage,Mama Okoh’s business,Torkwase at Otukpo,"Sgt. Onyilo in the war front. LEXIS, STRUCTURE AND ORAL FORMS In each of questions 36 to 45, select the option that best explains the information conveyed in the sentence.",B
36,2013,The team’s poor performance at the tournament plumb the depths of horror.,The team’s performance took them to the next round.,The team’s  performance was enjoyed by all,The team’s performance was full of disappointment.,The team’s performance was rewarded.,C
37,2013,Tolu and Chinedu live in each other’s pockets.,They are long-term business partners,They steal from each other.,They blackmail each other.,They are very close to each other.,D
38,2013,"As the drama unfolded, Olatinuke was advised",She was advised to wear her shirt,She was advised to commit herself,She was advised to stay calm.,She was advised to join the club.,C
39,2013,He is a clinging child.,He is a handsome young man,He is possessive,He likes to cling with his sister,He is a bully.,B
40,2013,Zinana’s examination result was not unfavourable.,She failed her examination,Her examination did not meet her expectation.,She was successful in the examination,Her result could not earn her admission.,C
41,2013,You need to brush up on your Spanish.,You need to study the history of Spain,You need to improve your skills,You need a brush from Spain,You need to learn to play with a Spainard.,B
42,2013,Amaka Would pass for a beauty queen,She would pass the  drink to the queen who is sitting next to her.,She would be accepted by all as a beauty queen.,She walked past the beauty queen.,She was acting as a beauty queen.,B
43,2013,"‘I can’t wait to become a mother,’ The new bride declared",She sees motherhood as a burden,She is excited about motherhood,She is not keen on becoming a mother,She will be patient as a mother.,B
44,2013,Usman needs to get his acts together if he wants to pass the examination.,He needs to put all points down in the examination,He needs to organize himself.,He needs to be fast when writing the examination.,He needs to put on his stage costume.,B
